State,Offer,R&D Spend,Administration,Marketing Spend,Profit
1,1,165349.2,136897.8,471784.1,192261.83
1,1,162597.7,151377.59,443898.53,191792.06
1,0,153441.51,101145.55,407934.54,191050.39
0,0,144372.41,118671.85,383199.62,182901.99
0,1,142107.34,91391.77,366168.42,166187.94
0,0,131876.9,99814.71,362861.36,156991.12
1,1,134615.46,147198.87,127716.82,156122.51
1,0,130298.13,145530.06,323876.68,155752.6
0,1,120542.52,148718.95,311613.29,152211.77
1,1,123334.88,108679.17,304981.62,149759.96
0,1,101913.08,110594.11,229160.95,146121.95
0,0,100671.96,91790.61,249744.55,144259.4
0,1,93863.75,127320.38,249839.44,141585.52
1,0,91992.39,135495.07,252664.93,134307.35
1,1,119943.24,156547.42,256512.92,132602.65
0,1,114523.61,122616.84,261776.23,129917.04
1,0,78013.11,121597.55,264346.06,126992.93
0,0,94657.16,145077.58,282574.31,125370.37
0,1,91749.16,114175.79,294919.57,124266.9
0,0,86419.7,153514.11,0,122776.86
1,1,76253.86,113867.3,298664.47,118474.03
1,1,78389.47,153773.43,299737.29,111313.02
1,0,73994.56,122782.75,303319.26,110352.25
1,1,67532.53,105751.03,304768.73,108733.99
0,1,77044.01,99281.34,140574.81,108552.04
1,1,64664.71,139553.16,137962.62,107404.34
1,1,75328.87,144135.98,134050.07,105733.54
0,1,72107.6,127864.55,353183.81,105008.31
1,0,66051.52,182645.56,118148.2,103282.38
0,0,65605.48,153032.06,107138.38,101004.64
